iter	Passed	Remaining
283	637	1607
284	639	1603
285	641	1601
286	643	1598
287	645	1594
288	646	1591
289	648	1588
290	650	1584
291	652	1581
292	654	1579
293	656	1576
294	658	1573
295	659	1569
296	661	1566
297	664	1564
298	665	1561
299	669	1561
300	671	1559
301	673	1557
302	675	1554
303	678	1552
304	680	1549
305	681	1546
306	683	1542
307	684	1538
308	686	1535
309	688	1531
310	689	1528
311	691	1524
312	693	1522
313	695	1518
314	696	1515
315	698	1512
316	700	1509
317	702	1505
318	703	1502
319	705	1498
320	706	1495
321	708	1492
322	710	1488
323	711	1485
324	713	1481
325	715	1478
326	717	1475
327	718	1472
328	720	1469
329	721	1465
330	723	1462
331	724	1458
332	726	1454
333	727	1451
334	729	1448
335	731	1444
336	732	1441
337	734	1438
338	736	1435
339	737	1431
340	738	1427
341	740	1424
342	742	1421
343	743	1418
344	745	1415
345	747	1412
346	748	1408
347	750	1405
348	751	1402
349	753	1399
350	754	1395
351	756	1392
352	757	1389
353	759	1386
354	761	1383
355	763	1380
356	764	1377
357	766	1374
358	767	1371
359	769	1368
360	771	1365
361	772	1362
362	774	1359
363	776	1356
364	778	1353
365	780	1351
366	781	1348
367	783	1345
368	785	1342
369	786	1339
370	788	1336
371	790	1334
372	792	1332
373	794	1329
374	795	1326
375	797	1323
376	798	1320
377	800	1317
378	802	1315
379	804	1312
380	806	1310
381	808	1307
382	809	1304
383	811	1301
384	812	1298
385	814	1295
386	816	1292
387	818	1290
388	819	1287
389	821	1284
390	822	1281
391	824	1279
392	826	1276
393	828	1274
394	830	1272
395	832	1270
396	834	1267
397	836	1265
398	838	1263
399	840	1260
400	842	1258
401	844	1255
402	845	1252
403	847	1249
404	848	1247
405	850	1244
406	852	1242
407	854	1239
408	856	1237
409	857	1234
410	859	1232
411	861	1229
412	863	1226
413	865	1224
414	866	1222
415	868	1219
416	870	1217
417	872	1215
418	874	1213
419	876	1210
420	878	1208
421	881	1206
422	883	1204
423	885	1202
424	887	1200
425	889	1198
426	891	1195
427	893	1193
428	895	1191
429	897	1189
430	899	1186
431	901	1185
432	903	1182
433	905	1180
434	907	1178
435	909	1176
436	911	1173
437	913	1172
438	915	1169
439	917	1167
440	919	1165
441	921	1163
442	923	1160
443	924	1158
444	926	1155
445	928	1153
446	930	1150
447	932	1148
448	933	1145
449	935	1143
450	937	1140
451	938	1138
452	940	1135
453	942	1133
454	944	1130
